Name,DateOfBirth,PAN,SalaryEarned,Allowances,PensionType,AadhaarNumber,BankName,BankAccountNumber,BankServiceCharge,PensionAmount
Sundar Pitchai,27-05-1970,A123456789,10000,1069.98,Family pension,1234567891011100,Bytecard,2626564583,0,0
Vishal Popat Munguskar,01-02-1949,B123456789,20000,1959.16,Family pension,1234567891011110,Pannier,8597924519,0,0
Naveenreddy Sheri,03-02-1960,C123456789,30000,1102.34,Family pension,1234567891011120,Bytecard,973230002,0,0
Rituparna Konar,16-10-1963,D123456789,40000,1172.23,Self pension,1234567891011130,Pannier,3102897851,0,0
Raggari Saiprasad Saiprasad,14-05-1965,E123456790,50000,1768.34,Self pension,1234567891011140,Bytecard,5648787774,0,0
Parth Sharadrao Raut,04-05-1962,F123456790,60000,782.23,Family pension,1234567891011150,Pannier,5278793333,0,0
Kunal Agarwal,08-09-1956,G123456790,70000,1076.65,Family pension,1234567891011160,Bytecard,5960696754,0,0
Soumya Sekhar Banerjee,23-01-1954,H123456790,80000,1937.18,Self pension,1234567891011170,SBI,8259261871,0,0
Ashlesha Choudhary,09-10-1967,I123456791,90000,909.25,Self pension,1234567891011180,IOB,8495449595,0,0
Kirtish Wasudevrao Khandar,04-04-1953,J123456791,100000,1476.32,Self pension,1234567891011190,Pannier,7426278387,0,0
Ankit Baliram Thakur,28-08-1960,K123456791,10000,1665.55,Family pension,1234567891011200,IOB,7831246592,0,0
Kapil Bhaulal Bodhare,15-08-1963,L123456791,20000,540.23,Family pension,1234567891011210,SBI,7617090501,0,0
Bhavik Vashi,04-07-1958,M123456792,30000,528.95,Family pension,1234567891011220,IOB,8702239191,0,0
Naga Sai Prasad Reddy,10-06-1957,N123456792,40000,1708.78,Self pension,1234567891011230,SBI,9708591181,0,0
Rohit Shaw,18-05-1968,O123456792,50000,710.39,Self pension,1234567891011240,Bytecard,732209005,0,0
Arsalan UR Rahman,12-12-1964,P123456792,60000,1654.45,Family pension,1234567891011250,IOB,7624065711,0,0
Vishal Kumar Sah,02-07-1965,Q123456793,70000,1063.43,Family pension,1234567891011260,SBI,9590011454,0,0
Suman Das,16-03-1959,R123456793,80000,854.69,Self pension,1234567891011270,Pannier,2289974188,0,0
harsha,02-03-1970,S123456793,90000,1603.65,Self pension,1234567891011280,Bytecard,4805657006,0,0
Mohammed Samran,22-05-1962,T123456793,100000,679.7,Self pension,1234567891011290,Pannier,9723600471,0,0
